2018-05-20 09:50:35.528 | I | -[AINeuralNetworkConfigManager fileDownloadedWithUrl:succeeded:] | [line:249] | [MESSAGE] Neural network config download succeeded.
2018-05-20 09:50:39.561 | I | -[DigitalClockVC viewDidLoad] | [line:138] | [MESSAGE] DigitalClockVC view did load
2018-05-20 09:50:39.644 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-05-20 09:50:39.655 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-05-20 09:50:40.010 | I | -[DigitalClockVC constructNextActionSchedulesAndQuestionnairesIfPossible] | [line:806] | [MESSAGE] constructNextActionSchedulesAndQuestionnairesIfPossible
2018-05-20 09:50:40.011 | I | -[DigitalClockVC constructNextActionSchedulesAndQuestionnairesIfPossible] | [line:815] | [MESSAGE] No questionnaire or action schedule found.
2018-05-20 09:50:40.011 | I | -[DigitalClockVC showScreenBasedOnStatus] | [line:358] | [MESSAGE] show screen based on status
2018-05-20 09:50:40.011 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-20 09:50:40.011 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-20 09:50:40.131 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-20 09:50:40.131 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-20 09:50:40.160 | I | -[DigitalClockVC startPKVisitQuestionIfNecessary] | [line:721] | [MESSAGE] startPKVisitQuestionIfNecessary
2018-05-20 09:50:40.373 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 1
2018-05-20 09:50:40.660 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 2
2018-05-20 09:50:40.799 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 3
2018-05-20 09:50:41.727 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 4
2018-05-20 09:50:41.887 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 5
2018-05-20 09:50:42.030 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
2018-05-20 09:50:42.031 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task pause_resume_report failed
2018-05-20 09:50:42.033 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 7
2018-05-20 09:50:42.167 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 8
2018-05-20 09:50:42.429 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task Dose_miss_time_report failed
2018-05-20 09:50:43.277 | I | -[AINeuralNetworkConfigManager fileDownloadedWithUrl:succeeded:] | [line:249] | [MESSAGE] Neural network config download succeeded.
2018-05-20 09:51:00.755 | I | -[AppDelegate applicationWillResignActive:] | [line:201] | [MESSAGE] application Will Resign Active
