2018-06-28 16:56:08.671 | I | getKitNum() | [line:43] | [MESSAGE] [API Gateway] Get kit num succeeded. No (non-synchronized) kit num.
2018-06-28 16:56:08.674 | I | -[AIKitNumManager updateWithData:] | [line:158] | [MESSAGE] [KitNum] Update kit nums with GET response succeeded. Saved the download time 2018-06-28 20:56:08 +0000 to user defaults.
2018-06-28 16:56:08.675 | E | -[AIKitNumManager updateWithData:] | [line:164] | [MESSAGE] [KitNum] Empty kit num list returned.
2018-06-28 16:56:08.686 | I | -[AIKitNumManager syncStatus] | [line:141] | [MESSAGE] [KitNum] No kit num status to put.
2018-06-28 16:56:10.076 | I | -[Transmission sendAll] | [line:75] | [MESSAGE] Transmission send all
2018-06-28 16:56:10.166 | I | -[Transmission sendAll] | [line:110] | [MESSAGE] Encrypting files
2018-06-28 16:56:10.305 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task Update_device_version failed
2018-06-28 16:56:10.308 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 1
2018-06-28 16:56:10.423 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task pk_clinic_visit_only failed
2018-06-28 16:56:10.427 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 2
2018-06-28 16:56:10.543 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task push_token_registration failed
2018-06-28 16:56:10.546 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 3
2018-06-28 16:56:10.679 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task kiosk_dose_check failed
2018-06-28 16:56:10.684 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 4
2018-06-28 16:56:10.817 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task questionnaire_sync failed
2018-06-28 16:56:10.821 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 5
2018-06-28 16:56:10.938 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task reimbursement_sync failed
2018-06-28 16:56:10.941 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 6
2018-06-28 16:56:11.048 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task Dose_miss_time_report failed
2018-06-28 16:56:11.696 | I | -[AICognitoHelper login]_block_invoke | [line:183] | [MESSAGE] [Cognito] Get session succeeded.
2018-06-28 16:56:11.721 | I | getKitNum() | [line:37] | [MESSAGE] [API Gateway] Get Cognito session succeeded. Getting kit num.
2018-06-28 16:56:11.729 | E | postCachedQuestionnaireEvents() | [line:501] | [MESSAGE] [Questionnaire] Post cached questionnaire events failed. Error Domain=NSCocoaErrorDomain Code=260 "The file “event” couldn’t be opened because there is no such file." UserInfo={NSURL=file:///var/mobile/Containers/Data/Application/86FEEE0D-2401-4B96-BF7C-C0210C08D295/Documents/event, NSFilePath=/var/mobile/Containers/Data/Application/86FEEE0D-2401-4B96-BF7C-C0210C08D295/Documents/event, NSUnderlyingError=0x10a626b20 {Error Domain=NSPOSIXErrorDomain Code=2 "No such file or directory"}}
2018-06-28 16:56:11.750 | I | upload(fileURL:bucket:) | [line:60] | [MESSAGE] [S3] Upload succeeded. prod-cd-temp-lambda-s3.aicure.com/non_phi/logs/0prod/1840000z23/2018-06-28/com.aicure.aiview.AiView 2018-06-28--20-56-07-569.log.
2018-06-28 16:56:11.768 | I | upload(fileURL:bucket:) | [line:60] | [MESSAGE] [S3] Upload succeeded. prod-cd-temp-lambda-s3.aicure.com/non_phi/logs/0prod/1840000z23/2018-06-28/com.aicure.aiview.AiView 2018-06-28--20-56-08-587.log.
2018-06-28 16:56:11.769 | I | -[Transmission sendAll] | [line:75] | [MESSAGE] Transmission send all
2018-06-28 16:56:11.779 | I | -[Transmission sendAll] | [line:85] | [MESSAGE] Task added: FR
2018-06-28 16:56:11.781 | I | -[Transmission sendAll] | [line:110] | [MESSAGE] Encrypting files
2018-06-28 16:56:11.870 | I | getKitNum() | [line:43] | [MESSAGE] [API Gateway] Get kit num succeeded. No (non-synchronized) kit num.
2018-06-28 16:56:11.872 | I | -[AIKitNumManager updateWithData:] | [line:158] | [MESSAGE] [KitNum] Update kit nums with GET response succeeded. Saved the download time 2018-06-28 20:56:11 +0000 to user defaults.
2018-06-28 16:56:11.873 | E | -[AIKitNumManager updateWithData:] | [line:164] | [MESSAGE] [KitNum] Empty kit num list returned.
2018-06-28 16:56:11.877 | I | -[AIKitNumManager syncStatus] | [line:141] | [MESSAGE] [KitNum] No kit num status to put.
2018-06-28 16:56:12.582 | I | -[Transmission update:task_name:] | [line:225] | [MESSAGE] File transmitted /var/mobile/Containers/Data/Application/86FEEE0D-2401-4B96-BF7C-C0210C08D295/Library/transmission/face_recognition.mp4
2018-06-28 16:56:12.583 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 1
2018-06-28 16:56:12.713 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task Update_device_version failed
2018-06-28 16:56:12.717 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 2
2018-06-28 16:56:12.837 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task pk_clinic_visit_only failed
2018-06-28 16:56:12.846 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 3
2018-06-28 16:56:13.088 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task push_token_registration failed
2018-06-28 16:56:13.094 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 4
2018-06-28 16:56:13.202 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task kiosk_dose_check failed
2018-06-28 16:56:13.210 | I | -[Transmission update:task_name:] | [line:241] | [MESSAGE] Task id done: 5
2018-06-28 16:56:13.332 | E | -[Transmission update:task_name:] | [line:234] | [MESSAGE] Task questionnaire_sync failed
