2018-05-20 10:48:03.684 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-05-20 10:48:03.687 | I | -[Transmission sendAll] | [line:90] | [MESSAGE] Task added: FR
2018-05-20 10:48:03.701 | I | -[Transmission sendAll] | [line:110] | [MESSAGE] Add data for transmission 1
2018-05-20 10:48:03.803 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-05-20 10:48:04.916 | I | -[Transmission update:task_name:] | [line:230] | [MESSAGE] File transmitted /var/mobile/Containers/Data/Application/C1D5A1C6-C69C-48DF-B2FD-3E318FC78552/Library/transmission/face_recognition.mp4
2018-05-20 10:48:04.916 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 1
2018-05-20 10:48:05.956 | I | -[Transmission update:task_name:] | [line:219] | [MESSAGE] Transmitted successfully on user:CE41411A-EF46-4F7C-AA85-EE3C7C4C4986 pill:smarties-white date:2018-05-20 04:00:00 +0000 doseID:0
2018-05-20 10:48:05.956 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 2
2018-05-20 10:48:12.407 | I | -[Transmission update:task_name:] | [line:230] | [MESSAGE] File transmitted /var/mobile/Containers/Data/Application/C1D5A1C6-C69C-48DF-B2FD-3E318FC78552/Library/transmission/0_smarties-white_0_2018-05-20.mp4
2018-05-20 10:48:12.408 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 3
2018-05-20 10:48:12.598 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 4
2018-05-20 10:48:12.723 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 5
2018-05-20 10:48:12.841 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
2018-05-20 10:48:12.991 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 7
2018-05-20 10:48:13.118 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 8
2018-05-20 10:48:13.247 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 9
