2018-05-22 11:00:59.938 | I | -[MedicationConfirmVC viewDidLoad] | [line:45] | [MESSAGE] MedicationConfirmVC view did load
2018-05-22 11:01:00.695 | I | -[FlexibleAudioPlayerController playAudioWithName:] | [line:80] | [MESSAGE] playAudioWithName conclusion_11
2018-05-22 11:01:00.695 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name conclusion_11
2018-05-22 11:01:05.778 | I | -[DigitalClockVC viewDidLoad] | [line:138] | [MESSAGE] DigitalClockVC view did load
2018-05-22 11:01:05.851 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-05-22 11:01:05.854 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-05-22 11:01:06.043 | I | -[DigitalClockVC constructNextActionSchedulesAndQuestionnairesIfPossible] | [line:806] | [MESSAGE] constructNextActionSchedulesAndQuestionnairesIfPossible
2018-05-22 11:01:06.495 | I | -[DigitalClockVC constructNextActionSchedulesAndQuestionnairesIfPossible] | [line:836] | [MESSAGE] Questionnaire ID [client100prod_1525443315-1526302685591-aedaa579-2f3e-4474-82e1-81e132adf92c] not found in active schedule ID [client100prod_1525443315_3-1526411430640-05d120b5-6a65-4851-8536-f9a125ee3bad]
2018-05-22 11:01:06.500 | I | -[DigitalClockVC constructNextActionSchedulesAndQuestionnairesIfPossible] | [line:836] | [MESSAGE] Questionnaire ID [client100prod_1525443315-1526322583899-20e945c4-c614-4eb1-b960-8f8eb49a55c3] not found in active schedule ID [client100prod_1525443315_3-1526411431122-568f4589-0ae1-44a0-be41-ca03de5deb12]
2018-05-22 11:01:06.500 | I | -[DigitalClockVC showScreenBasedOnStatus] | [line:358] | [MESSAGE] show screen based on status
2018-05-22 11:01:06.500 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-22 11:01:06.501 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
