2018-06-05 15:56:16.415 | I | -[AppDelegate applicationWillEnterForeground:] | [line:227] | [MESSAGE] application will enter foreground
2018-06-05 15:56:16.458 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID (null)
2018-06-05 15:56:16.469 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name pro
2018-06-05 15:56:16.472 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,1
2018-06-05 15:56:16.472 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone 6 PLUS
2018-06-05 15:56:16.473 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3.1
2018-06-05 15:56:16.473 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-06-05 15:56:16.474 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-06-05 15:56:16.489 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID C93F7AC8-0166-4BD1-8588-D0B4C3AA2021
2018-06-05 15:56:16.491 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID (null)
2018-06-05 15:56:16.497 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-06-05 15:56:17.064 | D | -[AiViewSwitch startApp] | [line:156] | [MESSAGE] StartApp in AiViewSwitch
2018-06-05 15:56:17.083 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-06-05 15:56:17.297 | I | -[LoginVC viewDidLoad] | [line:72] | [MESSAGE] LoginVC view did load
2018-06-05 15:56:17.298 | I | +[AIUtil checkWifiConnection] | [line:710] | [MESSAGE] check wifi connection = CONNECT_3G
2018-06-05 15:56:19.288 | I | -[AppDelegate applicationWillResignActive:] | [line:201] | [MESSAGE] application Will Resign Active
2018-06-05 15:56:20.958 | I | -[AppDelegate cleanAlertDialog] | [line:369] | [MESSAGE] clean Alert Dialog
2018-06-05 15:56:26.755 | I | -[AppDelegate applicationWillEnterForeground:] | [line:227] | [MESSAGE] application will enter foreground
2018-06-05 15:56:26.758 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID (null)
2018-06-05 15:56:26.759 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name pro
2018-06-05 15:56:26.759 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,1
2018-06-05 15:56:26.759 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone 6 PLUS
2018-06-05 15:56:26.759 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3.1
2018-06-05 15:56:26.759 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-06-05 15:56:26.759 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-06-05 15:56:26.770 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID C93F7AC8-0166-4BD1-8588-D0B4C3AA2021
2018-06-05 15:56:26.771 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID (null)
2018-06-05 15:56:26.772 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-06-05 15:56:27.319 | D | -[AiViewSwitch startApp] | [line:156] | [MESSAGE] StartApp in AiViewSwitch
2018-06-05 15:56:27.337 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-06-05 15:56:27.599 | I | -[LoginVC viewDidLoad] | [line:72] | [MESSAGE] LoginVC view did load
2018-06-05 15:56:27.605 | I | +[AIUtil checkWifiConnection] | [line:710] | [MESSAGE] check wifi connection = CONNECT_3G
2018-06-05 15:56:29.137 | I | -[AppDelegate applicationWillResignActive:] | [line:201] | [MESSAGE] application Will Resign Active
2018-06-05 15:56:31.239 | I | -[AppDelegate cleanAlertDialog] | [line:369] | [MESSAGE] clean Alert Dialog
2018-06-05 15:56:35.670 | I | -[AppDelegate applicationWillEnterForeground:] | [line:227] | [MESSAGE] application will enter foreground
2018-06-05 15:56:35.675 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID (null)
2018-06-05 15:56:35.676 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name pro
2018-06-05 15:56:35.676 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,1
2018-06-05 15:56:35.676 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone 6 PLUS
2018-06-05 15:56:35.676 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3.1
2018-06-05 15:56:35.676 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-06-05 15:56:35.677 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-06-05 15:56:35.705 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID C93F7AC8-0166-4BD1-8588-D0B4C3AA2021
2018-06-05 15:56:35.707 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID (null)
2018-06-05 15:56:35.708 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-06-05 15:56:36.413 | D | -[AiViewSwitch startApp] | [line:156] | [MESSAGE] StartApp in AiViewSwitch
2018-06-05 15:56:36.415 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-06-05 15:56:36.538 | I | -[LoginVC viewDidLoad] | [line:72] | [MESSAGE] LoginVC view did load
2018-06-05 15:56:36.551 | I | +[AIUtil checkWifiConnection] | [line:705] | [MESSAGE] check wifi connection = CONNECT_WIFI
2018-06-05 15:56:47.442 | I | -[LoginAction loginWithUsername:password:onView:] | [line:61] | [MESSAGE] login with username password
2018-06-05 15:56:47.452 | I | -[LoginAction getURLTaskWithUsername:password:] | [line:94] | [MESSAGE] [self.urlGetter routingUrl] https://routing.aicure.com/backend/get_url_trial
2018-06-05 15:56:48.209 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name routing, result 9999
2018-06-05 15:56:48.923 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup, result 9999
2018-06-05 15:56:49.084 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup_serialized, result 9999
2018-06-05 15:56:49.086 | I | -[LoginAction checkTrainingTask:password:] | [line:102] | [MESSAGE] [self.urlGetter getBackendURI:self.context] https://client100prod.aicure.com/backend/backend
2018-06-05 15:56:49.222 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name training, result 9999
2018-06-05 15:56:49.232 | I | -[LoginVC handleTransmissionSuccessfully] | [line:265] | [MESSAGE] handleTransmissionSuccessfully
2018-06-05 15:56:51.873 | I | -[TermConditionsVC loadWebView] | [line:160] | [MESSAGE] url https://client100prod.aicure.com/backend/backend/regulation/terms_and_conditions?lang=en
2018-06-05 15:56:51.877 | I | -[TermConditionsVC viewDidLoad] | [line:83] | [MESSAGE] TermConditionsVC view did load
2018-06-05 15:56:51.975 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,1
2018-06-05 15:56:51.996 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,1
2018-06-05 15:56:53.444 | I | -[TermConditionsVC viewDidAppear:] | [line:127] | [MESSAGE] TermConditionsVC viewDidAppear
2018-06-05 15:56:55.620 | I | -[TermConditionsVC agreeButtonPressed:] | [line:178] | [MESSAGE] agreeButtonPressed
2018-06-05 15:56:57.485 | I | -[TutorialStartVC viewDidLoad] | [line:30] | [MESSAGE] TutorialStartVC view did load
2018-06-05 15:56:58.659 | I | -[TutorialStartVC startButtonPressed:] | [line:98] | [MESSAGE] start Button Pressed
2018-06-05 15:56:58.746 | I | +[AINeuralNetworkConfigManager setCurrentMedicationName:shape:color:] | [line:93] | [MESSAGE] Set current medication name: Practice Medication, shape: (null), color: (null).
2018-06-05 15:56:59.450 | I | -[StepsController init:uiView:steps:viewController:recordVideo:] | [line:90] | [MESSAGE] should record video flag 0
2018-06-05 15:56:59.450 | I | -[AiViewTutorial viewDidLoad] | [line:68] | [MESSAGE] AiViewTutorial viewDidLoad
