2018-06-05 16:07:17.723 | I | getQuestionnaire(questionnaireID:) | [line:128] | [MESSAGE] [API Gateway] Getting questionnaire succeeded. Questionnaire ID: client100prod_1525443315-1525899697730-48b05138-e9c5-4e0f-9e9e-6ffdfe32d197. Name: VST Day 7.
2018-06-05 16:07:17.748 | I | saveQuestionnaireToFile(questionnaire:) | [line:234] | [MESSAGE] [Questionnaire] Save questionnaire succeeded. Filename: client100prod_1525443315-1525899697730-48b05138-e9c5-4e0f-9e9e-6ffdfe32d197.
2018-06-05 16:07:17.878 | I | getQuestionnaire(questionnaireID:) | [line:128] | [MESSAGE] [API Gateway] Getting questionnaire succeeded. Questionnaire ID: client100prod_1525443315-1525890381362-df4f967d-1af6-4b6d-b7e0-9514bd4e58d4. Name: VST and ANSA Day 1.
2018-06-05 16:07:17.988 | I | saveQuestionnaireToFile(questionnaire:) | [line:234] | [MESSAGE] [Questionnaire] Save questionnaire succeeded. Filename: client100prod_1525443315-1525890381362-df4f967d-1af6-4b6d-b7e0-9514bd4e58d4.
2018-06-05 16:07:18.082 | I | getQuestionnaire(questionnaireID:) | [line:128] | [MESSAGE] [API Gateway] Getting questionnaire succeeded. Questionnaire ID: client100prod_1525443315-1526411416794-c045df71-1d1b-4346-a3c5-4d3ff4b356f3. Name: VST and ANSA Day 14.
2018-06-05 16:07:18.174 | I | -[StartPageViewController onStartButtonPressed:] | [line:138] | [MESSAGE] POP_QUESTION_BEFORE_DOSING == 0
2018-06-05 16:07:18.187 | I | -[AiViewDaily viewDidLoad] | [line:52] | [MESSAGE] AiViewDaily view did load
2018-06-05 16:07:18.187 | I | -[AiViewDaily viewDidLoad] | [line:70] | [MESSAGE] Current medication name smarties-white
2018-06-05 16:07:18.187 | I | -[AiViewDaily viewDidLoad] | [line:71] | [MESSAGE] Current dosing amount 0
2018-06-05 16:07:18.188 | I | -[AiViewDaily viewDidLoad] | [line:77] | [MESSAGE] Current dosing steps 0, 1, 2, 3, 9, 
2018-06-05 16:07:18.232 | I | +[AINeuralNetworkConfigManager setCurrentMedicationName:shape:color:] | [line:93] | [MESSAGE] Set current medication name: smarties-white, shape: round, color: white.
2018-06-05 16:07:18.249 | I | saveQuestionnaireToFile(questionnaire:) | [line:234] | [MESSAGE] [Questionnaire] Save questionnaire succeeded. Filename: client100prod_1525443315-1526411416794-c045df71-1d1b-4346-a3c5-4d3ff4b356f3.
2018-06-05 16:07:18.755 | I | -[StepsController init:uiView:steps:viewController:recordVideo:] | [line:90] | [MESSAGE] should record video flag 0
2018-06-05 16:07:18.760 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-06-05 16:07:18.762 | I | -[CameraEngine previewAndInitRecordVideo:recordAudio:videoName:CameraEngineScenario:] | [line:110] | [MESSAGE] Starting up server
2018-06-05 16:07:19.821 | I | -[FlexibleVideoPlayerController playTutorialVideoOnView:step:] | [line:178] | [MESSAGE] playTutorialVideo short_version_face_identification_order_0_numpill_0_total_0
2018-06-05 16:07:42.817 | I | -[StepsController goToCamera] | [line:531] | [MESSAGE] goToCamera
2018-06-05 16:07:42.818 | I | -[StepsController defineCurrentStep] | [line:281] | [MESSAGE] defineCurrentStep 9
2018-06-05 16:07:42.962 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 0
2018-06-05 16:07:42.962 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 12
2018-06-05 16:07:43.036 | I | -[CameraUIView displayPreInstruction:] | [line:186] | [MESSAGE] show pre instruction animation
2018-06-05 16:07:43.038 | I | -[CameraEngine startCapture] | [line:187] | [MESSAGE] starting capture
2018-06-05 16:07:43.039 | I | -[StepsController goToCamera] | [line:531] | [MESSAGE] goToCamera
2018-06-05 16:07:43.040 | I | -[StepsController defineCurrentStep] | [line:281] | [MESSAGE] defineCurrentStep 9
2018-06-05 16:07:43.056 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 0
2018-06-05 16:07:43.056 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 12
2018-06-05 16:07:43.089 | I | -[CameraUIView displayPreInstruction:] | [line:186] | [MESSAGE] show pre instruction animation
2018-06-05 16:07:43.091 | I | -[StepsController goToCamera] | [line:531] | [MESSAGE] goToCamera
2018-06-05 16:07:43.091 | I | -[StepsController defineCurrentStep] | [line:281] | [MESSAGE] defineCurrentStep 9
2018-06-05 16:07:43.102 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 0
2018-06-05 16:07:43.102 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 12
2018-06-05 16:07:43.313 | I | -[CameraUIView displayPreInstruction:] | [line:186] | [MESSAGE] show pre instruction animation
2018-06-05 16:07:43.340 | I | -[StepsController goToCamera] | [line:531] | [MESSAGE] goToCamera
2018-06-05 16:07:43.341 | I | -[StepsController defineCurrentStep] | [line:281] | [MESSAGE] defineCurrentStep 0
2018-06-05 16:07:43.452 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 0
2018-06-05 16:07:43.452 | I | -[PhasesController defineState] | [line:223] | [MESSAGE] PhasesController defineState 12
2018-06-05 16:07:43.508 | I | -[FlexibleVideoPlayerController videoPlayingComplete:] | [line:193] | [MESSAGE] flex video videoPlayingComplete
