2018-06-05 16:10:07.454 | I | saveQuestionnaireToFile(questionnaire:) | [line:234] | [MESSAGE] [Questionnaire] Save questionnaire succeeded. Filename: client100prod_1525443315-1525890381362-df4f967d-1af6-4b6d-b7e0-9514bd4e58d4.
2018-06-05 16:10:07.499 | I | getQuestionnaire(questionnaireID:) | [line:128] | [MESSAGE] [API Gateway] Getting questionnaire succeeded. Questionnaire ID: client100prod_1525443315-1526512173040-60e1a64f-6305-4a01-86bc-44fe58931ac6. Name: Ecological Momentary Assessment.
2018-06-05 16:10:07.515 | I | saveQuestionnaireToFile(questionnaire:) | [line:234] | [MESSAGE] [Questionnaire] Save questionnaire succeeded. Filename: client100prod_1525443315-1526512173040-60e1a64f-6305-4a01-86bc-44fe58931ac6.
2018-06-05 16:10:07.528 | I | getQuestionnaire(questionnaireID:) | [line:128] | [MESSAGE] [API Gateway] Getting questionnaire succeeded. Questionnaire ID: client100prod_1525443315-1525899697730-48b05138-e9c5-4e0f-9e9e-6ffdfe32d197. Name: VST Day 7.
2018-06-05 16:10:07.553 | I | saveQuestionnaireToFile(questionnaire:) | [line:234] | [MESSAGE] [Questionnaire] Save questionnaire succeeded. Filename: client100prod_1525443315-1525899697730-48b05138-e9c5-4e0f-9e9e-6ffdfe32d197.
2018-06-05 16:10:07.581 | I | getQuestionnaire(questionnaireID:) | [line:128] | [MESSAGE] [API Gateway] Getting questionnaire succeeded. Questionnaire ID: client100prod_1525443315-1526575714597-97bea7fb-5305-4d13-b0b0-33f16c3349bf. Name: CDX Training Set.
2018-06-05 16:10:07.607 | I | saveQuestionnaireToFile(questionnaire:) | [line:234] | [MESSAGE] [Questionnaire] Save questionnaire succeeded. Filename: client100prod_1525443315-1526575714597-97bea7fb-5305-4d13-b0b0-33f16c3349bf.
2018-06-05 16:10:07.613 | I | getQuestionnaire(questionnaireID:) | [line:128] | [MESSAGE] [API Gateway] Getting questionnaire succeeded. Questionnaire ID: client100prod_1525443315-1526871500579-38d51912-358c-4c7a-a28e-f729a9af3ede. Name: delete.
2018-06-05 16:10:07.613 | I | getQuestionnaire(questionnaireID:) | [line:136] | [MESSAGE] [API Gateway] Questionnaire is neither active nor daily_dose mode. Skip it. Questionnaire ID: Questionnaire ID: client100prod_1525443315-1526871500579-38d51912-358c-4c7a-a28e-f729a9af3ede. Name: delete
2018-06-05 16:10:07.647 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-06-05 16:10:07.649 | I | -[Transmission sendAll] | [line:90] | [MESSAGE] Task added: FR
2018-06-05 16:10:07.666 | I | -[Transmission sendAll] | [line:110] | [MESSAGE] Add data for transmission 1
2018-06-05 16:10:07.702 | I | getQuestionnaire(questionnaireID:) | [line:128] | [MESSAGE] [API Gateway] Getting questionnaire succeeded. Questionnaire ID: client100prod_1525443315-1526411416794-c045df71-1d1b-4346-a3c5-4d3ff4b356f3. Name: VST and ANSA Day 14.
2018-06-05 16:10:07.827 | I | saveQuestionnaireToFile(questionnaire:) | [line:234] | [MESSAGE] [Questionnaire] Save questionnaire succeeded. Filename: client100prod_1525443315-1526411416794-c045df71-1d1b-4346-a3c5-4d3ff4b356f3.
2018-06-05 16:10:07.914 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-06-05 16:10:09.148 | I | -[Transmission update:task_name:] | [line:230] | [MESSAGE] File transmitted /var/mobile/Containers/Data/Application/263DF61B-42A2-4179-97CD-5BD0FF575BF3/Library/transmission/face_recognition.mp4
2018-06-05 16:10:09.148 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 1
2018-06-05 16:10:09.980 | I | -[Transmission update:task_name:] | [line:219] | [MESSAGE] Transmitted successfully on user:C93F7AC8-0166-4BD1-8588-D0B4C3AA2021 pill:smarties-white date:2018-06-05 04:00:00 +0000 doseID:0
2018-06-05 16:10:09.980 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 2
2018-06-05 16:10:11.510 | I | -[Transmission update:task_name:] | [line:230] | [MESSAGE] File transmitted /var/mobile/Containers/Data/Application/263DF61B-42A2-4179-97CD-5BD0FF575BF3/Library/transmission/0_smarties-white_0_2018-06-05.mp4
2018-06-05 16:10:11.510 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 3
2018-06-05 16:10:11.708 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 4
2018-06-05 16:10:11.824 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 5
2018-06-05 16:10:11.943 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
2018-06-05 16:10:12.085 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 7
2018-06-05 16:10:12.212 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 8
2018-06-05 16:10:12.343 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 9
2018-06-05 16:10:13.176 | I | -[AINeuralNetworkConfigManager fileDownloadedWithUrl:succeeded:] | [line:261] | [MESSAGE] [DNN] Downloading neural network config succeeded.
2018-06-05 16:10:13.197 | E | sendUnsentQuestionnaires() | [line:485] | [MESSAGE] [Questionnaire] Send unsent questionnaire failed. Error Domain=NSCocoaErrorDomain Code=260 "The file “event” couldn’t be opened because there is no such file." UserInfo={NSURL=file:///var/mobile/Containers/Data/Application/263DF61B-42A2-4179-97CD-5BD0FF575BF3/Documents/event, NSFilePath=/var/mobile/Containers/Data/Application/263DF61B-42A2-4179-97CD-5BD0FF575BF3/Documents/event, NSUnderlyingError=0x114622d30 {Error Domain=NSPOSIXErrorDomain Code=2 "No such file or directory"}}
2018-06-05 16:10:13.354 | I | saveQuestionnaireIDsToFile(trialID:) | [line:193] | [MESSAGE] [Questionnaire] Save questionnaire IDs succeeded. Filename: questionnaireIDs_client100prod_1525443315.
