2018-05-18 12:48:55.943 | I | -[AppDelegate applicationWillEnterForeground:] | [line:221] | [MESSAGE] application will enter foreground
2018-05-18 12:48:55.944 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID (null)
2018-05-18 12:48:55.945 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name pro
2018-05-18 12:48:55.945 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,2
2018-05-18 12:48:55.945 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone 6
2018-05-18 12:48:55.945 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3
2018-05-18 12:48:55.945 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.2
2018-05-18 12:48:55.945 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-05-18 12:48:55.950 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID C8E3226C-A31D-4C15-80D9-C98B85E37C57
2018-05-18 12:48:56.075 | D | -[AiViewSwitch startApp] | [line:157] | [MESSAGE] StartApp in AiViewSwitch
2018-05-18 12:48:56.077 | I | +[AIUtil checkPermission] | [line:1131] | [MESSAGE] camera access / mic access Authorized
2018-05-18 12:48:56.112 | I | -[LoginVC viewDidLoad] | [line:71] | [MESSAGE] LoginVC view did load
2018-05-18 12:48:56.114 | I | +[AIUtil checkWifiConnection] | [line:704] | [MESSAGE] check wifi connection = CONNECT_WIFI
2018-05-18 12:56:35.529 | I | -[AppDelegate applicationWillResignActive:] | [line:196] | [MESSAGE] application Will Resign Active
2018-05-18 12:56:36.189 | I | -[AppDelegate cleanAlertDialog] | [line:346] | [MESSAGE] clean Alert Dialog
2018-05-18 12:58:40.400 | I | -[AppDelegate applicationWillEnterForeground:] | [line:221] | [MESSAGE] application will enter foreground
2018-05-18 12:58:40.433 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID (null)
2018-05-18 12:58:40.436 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name pro
2018-05-18 12:58:40.437 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,2
2018-05-18 12:58:40.437 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone 6
2018-05-18 12:58:40.437 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3
2018-05-18 12:58:40.437 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.2
2018-05-18 12:58:40.437 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-05-18 12:58:40.444 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID C8E3226C-A31D-4C15-80D9-C98B85E37C57
2018-05-18 12:58:40.622 | D | -[AiViewSwitch startApp] | [line:157] | [MESSAGE] StartApp in AiViewSwitch
2018-05-18 12:58:40.626 | I | +[AIUtil checkPermission] | [line:1131] | [MESSAGE] camera access / mic access Authorized
2018-05-18 12:58:40.747 | I | -[LoginVC viewDidLoad] | [line:71] | [MESSAGE] LoginVC view did load
2018-05-18 12:58:40.750 | I | +[AIUtil checkWifiConnection] | [line:704] | [MESSAGE] check wifi connection = CONNECT_WIFI
2018-05-18 13:08:11.946 | I | -[LoginAction loginWithUsername:password:onView:] | [line:61] | [MESSAGE] login with username password
2018-05-18 13:08:11.953 | I | -[LoginAction getURLTaskWithUsername:password:] | [line:94] | [MESSAGE] [self.urlGetter routingUrl] https://routing.aicure.com/backend/get_url_trial
2018-05-18 13:08:12.686 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name routing, result 9999
2018-05-18 13:08:13.168 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup, result 9999
2018-05-18 13:08:13.367 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup_serialized, result 9999
2018-05-18 13:08:13.369 | I | -[LoginAction checkTrainingTask:password:] | [line:102] | [MESSAGE] [self.urlGetter getBackendURI:self.context] https://client100prod.aicure.com/backend/backend
2018-05-18 13:08:13.516 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name training, result 9999
2018-05-18 13:08:13.789 | I | -[LoginVC handleTransmissionSuccessfully] | [line:263] | [MESSAGE] handleTransmissionSuccessfully
2018-05-18 13:08:13.880 | D | -[AiViewSwitch startApp] | [line:157] | [MESSAGE] StartApp in AiViewSwitch
2018-05-18 13:08:13.881 | I | +[AIUtil checkPermission] | [line:1131] | [MESSAGE] camera access / mic access Authorized
2018-05-18 13:08:13.931 | I | -[LoginVC viewDidLoad] | [line:71] | [MESSAGE] LoginVC view did load
2018-05-18 13:08:13.932 | I | +[AIUtil checkWifiConnection] | [line:704] | [MESSAGE] check wifi connection = CONNECT_WIFI
2018-05-18 13:08:42.239 | I | -[LoginAction loginWithUsername:password:onView:] | [line:61] | [MESSAGE] login with username password
2018-05-18 13:08:42.240 | I | -[LoginAction getURLTaskWithUsername:password:] | [line:94] | [MESSAGE] [self.urlGetter routingUrl] https://routing.aicure.com/backend/get_url_trial
2018-05-18 13:08:42.365 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name routing, result 9999
2018-05-18 13:08:42.486 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup, result 9999
