2018-06-05 14:33:30.169 | I | -[AppDelegate application:didFinishLaunchingWithOptions:] | [line:181] | [MESSAGE] application Did Finish Launching
2018-06-05 14:33:30.173 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID (null)
2018-06-05 14:33:30.174 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name pro
2018-06-05 14:33:30.174 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone8,1
2018-06-05 14:33:30.175 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone 6S
2018-06-05 14:33:30.175 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3.1
2018-06-05 14:33:30.175 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.2
2018-06-05 14:33:30.175 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-06-05 14:33:30.180 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID 0AF1B679-37C0-4369-9F33-3D784429E4C0
2018-06-05 14:33:30.382 | I | -[AppDelegate applicationWillResignActive:] | [line:196] | [MESSAGE] application Will Resign Active
2018-06-05 14:33:30.424 | D | -[AiViewSwitch startApp] | [line:157] | [MESSAGE] StartApp in AiViewSwitch
2018-06-05 14:33:30.455 | I | +[AIUtil checkPermission] | [line:1128] | [MESSAGE] camera access / mic access Not Determined
2018-06-05 14:33:30.498 | I | -[LoginVC viewDidLoad] | [line:71] | [MESSAGE] LoginVC view did load
2018-06-05 14:33:30.500 | I | +[AIUtil checkWifiConnection] | [line:704] | [MESSAGE] check wifi connection = CONNECT_WIFI
2018-06-05 14:33:30.835 | I | -[AppDelegate applicationWillResignActive:] | [line:196] | [MESSAGE] application Will Resign Active
2018-06-05 14:33:32.866 | I | -[AppDelegate applicationWillResignActive:] | [line:196] | [MESSAGE] application Will Resign Active
2018-06-05 14:33:33.366 | I | -[AppDelegate applicationWillResignActive:] | [line:196] | [MESSAGE] application Will Resign Active
2018-06-05 14:33:34.441 | I | -[AppDelegate applicationWillResignActive:] | [line:196] | [MESSAGE] application Will Resign Active
2018-06-05 14:33:35.523 | I | -[AppDelegate application:didRegisterForRemoteNotificationsWithDeviceToken:] | [line:414] | [MESSAGE] Succeded to get APNS token data: <2e94dc2e 81771c46 2724c85f b9803361 937cef57 4005d653 f30f9594 4ce305f4>
2018-06-05 14:33:35.523 | I | -[AppDelegate application:didRegisterForRemoteNotificationsWithDeviceToken:] | [line:420] | [MESSAGE] deviceToken:  2e94dc2e81771c462724c85fb9803361937cef574005d653f30f95944ce305f4
2018-06-05 14:34:20.193 | I | -[LoginAction loginWithUsername:password:onView:] | [line:61] | [MESSAGE] login with username password
2018-06-05 14:34:20.194 | I | -[LoginAction getURLTaskWithUsername:password:] | [line:94] | [MESSAGE] [self.urlGetter routingUrl] https://routing.aicure.com/backend/get_url_trial
2018-06-05 14:34:20.701 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name routing, result 9999
2018-06-05 14:34:21.129 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup, result 9999
2018-06-05 14:34:21.280 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup_serialized, result 9999
2018-06-05 14:34:21.281 | I | -[LoginAction checkTrainingTask:password:] | [line:102] | [MESSAGE] [self.urlGetter getBackendURI:self.context] https://client100prod.aicure.com/backend/backend
2018-06-05 14:34:21.405 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name training, result 9999
2018-06-05 14:34:21.529 | I | -[LoginVC handleTransmissionSuccessfully] | [line:263] | [MESSAGE] handleTransmissionSuccessfully
2018-06-05 14:34:21.560 | D | -[AiViewSwitch startApp] | [line:157] | [MESSAGE] StartApp in AiViewSwitch
2018-06-05 14:34:21.561 | I | +[AIUtil checkPermission] | [line:1131] | [MESSAGE] camera access / mic access Authorized
2018-06-05 14:34:21.579 | I | -[LoginVC viewDidLoad] | [line:71] | [MESSAGE] LoginVC view did load
2018-06-05 14:34:21.580 | I | +[AIUtil checkWifiConnection] | [line:704] | [MESSAGE] check wifi connection = CONNECT_WIFI
2018-06-05 14:34:42.116 | I | -[LoginAction loginWithUsername:password:onView:] | [line:61] | [MESSAGE] login with username password
